,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
46,female,group A,associate's degree,standard,completed,55,65,62
924,male,group D,high school,free/reduced,none,74,70,69
562,male,group C,bachelor's degree,standard,completed,96,90,92
731,male,group A,some high school,free/reduced,none,55,46,43
979,female,group C,associate's degree,standard,none,91,95,94
449,male,group B,associate's degree,standard,none,81,73,72
377,female,group D,master's degree,free/reduced,completed,85,95,100
912,female,group C,bachelor's degree,standard,completed,52,61,66
527,female,group C,high school,free/reduced,none,36,53,43
193,male,group D,some college,standard,completed,77,62,62
639,female,group D,associate's degree,standard,none,76,74,73
657,male,group D,some high school,standard,none,69,66,61
885,female,group C,associate's degree,standard,completed,62,76,80
642,female,group B,some high school,free/reduced,none,72,81,79
853,male,group E,some high school,standard,none,82,67,61
448,male,group B,high school,standard,none,47,46,42
879,female,group D,associate's degree,standard,none,64,76,74
51,male,group E,associate's degree,free/reduced,completed,77,69,68
818,female,group B,high school,free/reduced,none,60,72,68
994,male,group A,high school,standard,none,63,63,62
576,male,group A,some college,standard,completed,61,51,52
719,male,group E,associate's degree,free/reduced,completed,91,73,80
581,female,group E,some high school,standard,none,77,79,80
350,female,group B,bachelor's degree,standard,none,52,65,69
388,female,group D,high school,standard,none,62,64,64
986,female,group C,associate's degree,standard,none,40,59,51
492,female,group C,some college,standard,none,83,83,90
843,male,group B,some college,free/reduced,completed,74,77,76
835,female,group C,high school,standard,completed,60,64,74
353,female,group C,associate's degree,standard,none,46,58,57
91,male,group C,high school,free/reduced,none,27,34,36
666,female,group C,some college,free/reduced,completed,63,73,71
410,female,group D,master's degree,standard,completed,70,71,74
371,female,group C,some college,free/reduced,completed,45,73,70
34,male,group E,some college,standard,none,97,87,82
535,female,group C,bachelor's degree,free/reduced,completed,66,83,83
127,male,group D,some college,standard,completed,65,77,74
440,female,group C,some college,standard,completed,67,81,79
620,female,group C,high school,free/reduced,none,35,61,54
212,female,group C,high school,free/reduced,none,42,62,60
915,female,group E,some college,standard,none,68,70,66
387,female,group C,associate's degree,free/reduced,none,57,78,67
162,male,group B,master's degree,free/reduced,none,49,53,52
481,female,group D,associate's degree,free/reduced,none,52,59,56
700,female,group E,bachelor's degree,standard,completed,79,81,82
65,male,group B,some high school,standard,none,67,64,61
759,male,group B,some college,standard,completed,69,77,77
370,male,group E,some college,standard,none,84,77,71
7,male,group B,some college,free/reduced,none,40,43,39
722,female,group B,some high school,free/reduced,completed,74,90,88
443,female,group B,associate's degree,standard,none,73,83,76
477,male,group D,associate's degree,standard,none,80,68,72
47,female,group C,high school,standard,none,66,71,76
381,male,group C,associate's degree,standard,completed,87,100,95
441,female,group D,high school,standard,none,78,81,80
252,female,group B,some high school,standard,completed,60,70,70
295,male,group B,associate's degree,free/reduced,none,67,62,60
148,female,group D,bachelor's degree,standard,completed,68,75,81
108,female,group B,associate's degree,free/reduced,none,52,76,70
380,female,group B,associate's degree,standard,none,80,86,83
474,female,group B,associate's degree,standard,completed,90,90,91
566,female,group E,bachelor's degree,free/reduced,completed,92,100,100
248,female,group B,high school,standard,none,65,64,62
663,female,group C,high school,standard,none,65,69,67
183,female,group D,associate's degree,standard,none,65,69,70
420,female,group C,associate's degree,free/reduced,completed,82,93,93
830,female,group A,some college,free/reduced,none,61,60,57
878,female,group D,some high school,standard,none,59,72,80
815,male,group B,some high school,standard,completed,94,86,87
672,female,group C,some college,standard,none,69,78,76
425,female,group C,some college,free/reduced,none,62,67,62
260,female,group C,some high school,free/reduced,completed,64,79,77
978,male,group D,high school,standard,completed,55,41,48
26,male,group B,some college,standard,none,69,54,55
658,female,group D,associate's degree,free/reduced,none,43,60,58
783,female,group C,associate's degree,standard,completed,52,59,62
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100
230,male,group D,some college,standard,none,76,64,66
927,female,group D,high school,free/reduced,completed,65,61,71
186,male,group E,high school,standard,none,80,76,65
633,female,group C,high school,standard,none,75,88,85
687,male,group D,associate's degree,free/reduced,none,77,78,73
930,male,group C,some college,free/reduced,completed,67,74,70
913,female,group C,bachelor's degree,free/reduced,completed,47,62,66
167,female,group B,master's degree,free/reduced,completed,58,76,78
592,male,group E,bachelor's degree,standard,none,68,68,64
741,female,group A,associate's degree,free/reduced,none,37,57,56
662,female,group D,some college,free/reduced,none,55,71,69
651,female,group A,high school,standard,completed,68,80,76
757,male,group E,bachelor's degree,free/reduced,completed,70,68,72
376,female,group D,some high school,standard,none,80,90,82
27,female,group C,bachelor's degree,standard,none,67,69,75
575,male,group A,associate's degree,free/reduced,completed,40,55,53
717,female,group C,associate's degree,standard,completed,96,96,99
958,female,group D,high school,standard,none,45,63,59
771,male,group D,bachelor's degree,standard,none,75,73,74
331,male,group C,associate's degree,standard,none,47,37,35
948,male,group B,some high school,free/reduced,completed,49,50,52
923,female,group B,associate's degree,free/reduced,none,54,65,65
808,male,group C,high school,standard,none,90,75,69
141,female,group C,some college,free/reduced,none,59,62,64
932,male,group D,associate's degree,free/reduced,completed,61,71,73
267,female,group D,high school,standard,none,69,72,77
744,male,group B,some college,free/reduced,none,55,55,47
501,female,group B,associate's degree,standard,completed,94,87,92
886,female,group E,associate's degree,standard,completed,93,100,95
507,male,group B,bachelor's degree,free/reduced,none,55,59,54
138,female,group C,associate's degree,standard,none,59,66,67
653,female,group A,associate's degree,standard,completed,65,70,74
945,female,group C,associate's degree,standard,none,54,61,58
625,male,group D,some college,standard,completed,100,97,99
761,female,group D,some high school,standard,none,48,58,54
970,female,group D,bachelor's degree,standard,none,89,100,100
365,male,group A,bachelor's degree,free/reduced,completed,49,58,60
63,female,group C,associate's degree,standard,none,69,80,71
11,male,group D,associate's degree,standard,none,40,52,43
45,male,group B,associate's degree,standard,none,65,54,57
28,male,group C,high school,standard,none,70,70,65
450,female,group C,some college,free/reduced,completed,64,85,85
92,male,group C,high school,standard,none,71,79,71
688,male,group A,high school,free/reduced,none,53,58,44
208,female,group B,some college,free/reduced,none,74,81,76
73,male,group C,some high school,free/reduced,none,61,57,56
871,female,group C,some college,standard,completed,70,72,76
319,female,group D,associate's degree,free/reduced,none,56,65,63
753,female,group C,some high school,standard,completed,77,90,85
461,male,group B,some college,free/reduced,none,54,54,45
614,female,group A,associate's degree,standard,none,82,93,93
766,female,group C,high school,standard,completed,58,75,77
427,male,group C,some high school,free/reduced,none,69,71,65
798,male,group E,some college,standard,none,69,60,54
772,female,group B,some high school,free/reduced,completed,52,67,72
686,male,group E,some college,standard,completed,85,75,68
20,male,group D,high school,standard,none,66,69,63
811,male,group A,high school,free/reduced,none,45,47,49
86,female,group C,some college,free/reduced,none,76,83,88
765,female,group B,high school,standard,none,74,72,72
309,female,group D,high school,free/reduced,none,49,57,52
847,male,group D,high school,standard,none,64,54,50
742,female,group C,high school,standard,none,81,84,82
907,female,group D,some college,standard,completed,79,84,91
605,male,group C,some high school,standard,none,75,72,62
846,male,group C,master's degree,standard,completed,91,85,85
720,female,group C,some college,free/reduced,none,62,72,70
514,female,group B,master's degree,free/reduced,completed,77,97,94
325,female,group C,some college,standard,none,82,90,94
324,female,group C,high school,free/reduced,none,41,46,43
359,female,group D,some college,standard,none,80,90,89
747,male,group C,some college,standard,none,69,64,68
926,male,group E,associate's degree,free/reduced,none,64,56,52
432,male,group C,high school,standard,none,61,56,55
221,male,group B,associate's degree,standard,none,87,85,73
87,female,group D,associate's degree,standard,none,71,71,74
611,female,group C,some college,standard,none,58,59,66
224,female,group B,associate's degree,standard,completed,52,66,73
969,female,group B,bachelor's degree,standard,none,75,84,80
546,female,group A,some high school,standard,completed,92,100,97
21,female,group B,some college,free/reduced,completed,65,75,70
649,female,group D,some college,standard,completed,69,79,81
894,female,group E,associate's degree,standard,none,59,62,69
416,male,group C,bachelor's degree,standard,completed,71,74,68
585,female,group C,associate's degree,standard,none,65,76,76
553,male,group D,some college,free/reduced,none,77,62,64
755,female,group E,associate's degree,standard,none,84,95,92
18,male,group C,master's degree,free/reduced,completed,46,42,46
122,female,group C,some college,standard,completed,88,93,93
291,male,group D,some high school,standard,none,86,73,70
417,male,group C,associate's degree,standard,none,74,73,67
917,female,group C,high school,standard,none,44,61,52
178,female,group B,master's degree,free/reduced,completed,52,70,62
523,male,group C,master's degree,free/reduced,none,54,59,50
247,female,group B,high school,standard,completed,58,70,68
257,male,group C,associate's degree,standard,completed,78,77,77
225,female,group E,master's degree,free/reduced,none,45,56,54
306,male,group E,some college,standard,completed,99,87,81
182,female,group E,high school,standard,none,50,50,47
347,female,group C,bachelor's degree,standard,completed,77,94,95
305,male,group A,some college,standard,none,69,67,69
679,male,group D,some college,free/reduced,none,63,61,60
568,male,group B,high school,free/reduced,none,63,48,47
561,female,group C,some college,standard,none,63,74,74
101,male,group D,bachelor's degree,standard,completed,68,74,74
792,male,group D,high school,free/reduced,none,66,74,69
389,male,group D,master's degree,standard,none,73,70,75
190,female,group E,associate's degree,standard,none,66,65,69
479,male,group E,associate's degree,standard,none,76,71,67
509,female,group C,bachelor's degree,standard,none,86,92,87
228,male,group A,some high school,free/reduced,none,68,72,64
69,female,group C,associate's degree,standard,none,39,64,57
841,male,group C,some high school,standard,none,64,58,51
53,male,group D,high school,standard,none,88,78,75
56,female,group E,associate's degree,standard,completed,82,85,86
175,female,group C,master's degree,standard,completed,81,91,87
758,female,group D,some college,free/reduced,completed,52,59,65
173,female,group C,associate's degree,standard,none,63,67,70
877,male,group C,some high school,standard,none,57,61,54
799,female,group C,associate's degree,standard,none,52,55,57
112,male,group A,associate's degree,standard,none,54,53,47
939,male,group D,some high school,standard,completed,77,68,69
767,male,group B,high school,standard,completed,76,62,60
470,female,group C,associate's degree,standard,completed,83,85,90
635,male,group A,high school,standard,none,71,74,64
788,male,group C,associate's degree,free/reduced,none,68,65,61
1,female,group C,some college,standard,completed,69,90,88
909,male,group E,bachelor's degree,standard,completed,70,64,70
327,male,group A,some college,free/reduced,none,28,23,19
784,male,group C,bachelor's degree,standard,completed,91,81,79
519,female,group B,high school,free/reduced,completed,67,78,79
144,male,group D,some college,standard,none,88,73,78
415,male,group E,high school,standard,none,84,73,69
366,male,group C,high school,standard,completed,69,58,53
991,female,group B,some high school,standard,completed,65,82,78
62,male,group A,associate's degree,free/reduced,none,62,61,55
85,female,group C,some college,standard,none,73,80,82
770,male,group B,high school,standard,none,52,48,49
668,male,group C,some college,standard,none,73,74,61
412,male,group D,associate's degree,standard,none,71,66,60
294,male,group D,high school,free/reduced,completed,78,77,80
96,male,group B,some high school,standard,completed,65,66,62
379,male,group A,bachelor's degree,standard,none,66,64,62
693,female,group D,associate's degree,standard,none,77,77,73
595,female,group C,bachelor's degree,standard,completed,56,79,72
472,female,group C,associate's degree,standard,completed,68,86,84
318,male,group B,bachelor's degree,standard,none,63,71,69
671,male,group D,associate's degree,free/reduced,none,52,57,50
817,male,group D,bachelor's degree,free/reduced,completed,61,70,76
832,male,group A,bachelor's degree,standard,none,64,60,58
914,female,group B,associate's degree,free/reduced,none,46,61,55
66,male,group D,some high school,free/reduced,none,45,37,37
246,male,group E,associate's degree,standard,none,89,76,74
488,male,group B,some high school,standard,completed,64,53,57
83,male,group E,associate's degree,standard,none,72,64,63
253,male,group D,master's degree,standard,none,80,80,72
480,male,group B,high school,standard,completed,73,71,68
286,male,group E,associate's degree,standard,completed,97,82,88
610,male,group D,some college,free/reduced,completed,69,60,63
404,female,group C,high school,standard,none,54,59,62
58,male,group D,some college,standard,completed,58,59,58
273,female,group D,some college,standard,none,65,70,71
445,female,group C,some high school,standard,completed,67,74,77
497,female,group D,some college,free/reduced,completed,59,78,76
229,female,group C,some college,standard,completed,88,95,94
776,female,group B,high school,standard,none,66,72,70
67,female,group C,some college,standard,none,60,72,74
990,male,group E,high school,free/reduced,completed,86,81,75
564,male,group B,bachelor's degree,free/reduced,none,48,51,46
493,female,group C,bachelor's degree,standard,none,81,88,90
754,male,group C,associate's degree,free/reduced,none,58,55,53
993,female,group D,bachelor's degree,free/reduced,none,62,72,74
825,male,group C,high school,standard,none,62,67,58
394,female,group C,some high school,standard,completed,65,74,77
262,female,group C,some high school,free/reduced,none,44,50,51
963,female,group C,some high school,free/reduced,completed,65,76,75
906,male,group B,high school,standard,none,57,48,51
953,male,group C,high school,standard,completed,58,52,54
482,male,group C,some college,free/reduced,none,68,68,61
724,male,group B,some college,standard,none,47,43,41
521,female,group C,associate's degree,standard,none,91,86,84
39,male,group B,associate's degree,free/reduced,none,57,56,57
315,male,group C,high school,standard,none,71,66,65
8,male,group D,high school,free/reduced,completed,64,64,67
946,male,group B,high school,standard,none,82,82,80
276,female,group C,some high school,standard,completed,85,92,93
880,male,group C,bachelor's degree,standard,completed,63,64,66
284,female,group B,some high school,standard,none,37,46,46
245,male,group C,associate's degree,standard,none,85,76,71
655,female,group B,some college,standard,none,62,67,67
372,male,group D,some high school,standard,none,74,74,72
789,female,group C,master's degree,free/reduced,none,52,65,61
780,female,group D,associate's degree,free/reduced,none,46,56,57
240,male,group D,high school,free/reduced,completed,73,68,66
293,female,group E,bachelor's degree,standard,none,65,73,75
168,female,group B,high school,standard,completed,68,83,78
601,female,group C,high school,standard,none,29,29,30
194,female,group C,master's degree,standard,completed,69,84,85
848,female,group C,high school,standard,none,59,72,68
171,male,group E,some high school,standard,none,94,88,78
860,female,group C,associate's degree,standard,none,53,62,53
38,female,group D,associate's degree,free/reduced,completed,75,90,88
151,male,group A,bachelor's degree,standard,none,77,67,68
160,male,group B,associate's degree,free/reduced,completed,82,78,74
988,female,group A,some high school,free/reduced,none,44,45,45
498,female,group B,some high school,standard,none,66,69,68
50,male,group E,some college,standard,none,53,55,48
43,male,group B,some college,free/reduced,completed,59,65,66
180,male,group C,master's degree,free/reduced,completed,62,68,75
678,male,group D,associate's degree,free/reduced,none,81,75,78
629,female,group C,some high school,standard,completed,44,51,55
36,female,group D,associate's degree,standard,none,74,81,83
35,male,group E,associate's degree,standard,completed,81,81,79
204,male,group C,some college,standard,none,59,41,42
426,male,group C,bachelor's degree,standard,none,86,83,86
405,female,group C,some high school,standard,none,63,73,68
140,female,group D,some high school,standard,none,76,72,71
607,female,group C,master's degree,free/reduced,none,40,58,54
446,male,group D,some college,free/reduced,none,69,66,60
812,female,group C,master's degree,standard,completed,54,64,67
726,female,group E,associate's degree,standard,completed,65,75,77
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80
106,female,group D,master's degree,standard,none,87,100,100
929,female,group C,some high school,free/reduced,none,48,56,51
866,male,group C,high school,free/reduced,none,59,53,52
346,male,group B,some college,standard,none,62,61,57
800,male,group C,some high school,standard,completed,67,73,68
390,male,group E,some high school,free/reduced,completed,73,67,59
705,male,group A,bachelor's degree,free/reduced,none,62,72,65
234,male,group C,bachelor's degree,standard,completed,83,82,84
539,male,group A,associate's degree,standard,completed,97,92,86
587,female,group C,bachelor's degree,free/reduced,none,44,63,62
745,male,group D,associate's degree,standard,none,72,79,74
330,male,group C,high school,standard,none,71,60,61
554,male,group E,associate's degree,standard,none,53,45,40
375,male,group E,associate's degree,free/reduced,none,46,43,41
791,female,group D,some college,free/reduced,none,60,66,70
873,male,group E,associate's degree,free/reduced,none,90,90,82
198,female,group B,some college,free/reduced,none,45,53,55
195,male,group D,associate's degree,standard,none,61,55,52
520,male,group D,some college,standard,none,71,49,52
199,female,group B,bachelor's degree,free/reduced,none,78,79,76
363,female,group D,some high school,free/reduced,none,27,34,32
323,female,group C,some high school,free/reduced,none,43,53,53
191,male,group D,some college,standard,completed,76,83,79
452,female,group C,associate's degree,free/reduced,none,65,77,74
423,female,group A,some high school,standard,completed,59,85,80
341,female,group C,high school,standard,none,61,73,63
862,male,group D,bachelor's degree,free/reduced,completed,39,42,38
75,male,group B,associate's degree,free/reduced,none,44,41,38
290,male,group C,associate's degree,standard,none,76,70,68
342,female,group B,high school,standard,completed,69,76,74
504,female,group D,master's degree,free/reduced,none,40,59,54
608,female,group E,some college,standard,none,61,64,62
813,male,group E,some high school,standard,completed,87,84,76
676,female,group E,some college,standard,completed,73,78,76
107,male,group E,associate's degree,standard,completed,66,63,64
706,male,group D,high school,standard,none,46,34,36
661,male,group C,some high school,standard,none,73,66,63
795,female,group E,associate's degree,free/reduced,completed,57,68,73
110,female,group D,associate's degree,free/reduced,completed,77,89,98
972,female,group A,high school,free/reduced,completed,53,50,60
233,male,group E,some high school,standard,none,92,87,78
120,female,group C,bachelor's degree,standard,completed,79,92,89
170,male,group A,high school,standard,completed,72,73,74
444,male,group A,some high school,free/reduced,none,79,82,73
133,female,group C,some college,standard,completed,75,81,84
775,female,group B,some high school,free/reduced,none,49,58,55
429,male,group C,some high school,free/reduced,none,68,63,54
312,male,group D,bachelor's degree,standard,completed,67,61,68
809,male,group B,bachelor's degree,standard,none,59,54,51
10,male,group C,associate's degree,standard,none,58,54,52
960,female,group A,some college,standard,none,56,58,64
900,male,group D,master's degree,standard,none,85,84,89
259,female,group C,master's degree,free/reduced,completed,65,81,81
545,male,group E,some high school,free/reduced,completed,78,83,80
283,female,group D,some college,free/reduced,completed,70,78,78
250,male,group A,some high school,standard,completed,47,49,49
997,female,group C,high school,free/reduced,completed,59,71,65
419,male,group E,high school,free/reduced,completed,57,56,54
586,female,group A,high school,standard,none,55,73,73
217,female,group C,high school,free/reduced,none,34,42,39
943,male,group A,some high school,free/reduced,completed,61,62,61
374,female,group D,bachelor's degree,standard,none,59,70,73
833,female,group B,high school,standard,completed,77,82,89
302,female,group C,associate's degree,standard,completed,67,84,81
646,female,group D,associate's degree,standard,none,59,70,65
209,female,group B,some college,free/reduced,none,58,61,66
865,male,group D,some college,standard,completed,82,82,88
326,male,group C,some college,standard,none,61,61,62
55,female,group C,high school,free/reduced,none,33,41,43
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72
641,female,group D,associate's degree,free/reduced,completed,74,88,90
289,male,group E,some high school,standard,completed,77,76,77
524,male,group C,high school,standard,completed,53,52,49
254,male,group D,high school,standard,none,54,52,52
384,female,group A,some high school,free/reduced,none,38,43,43
540,male,group C,high school,standard,completed,75,69,68
735,male,group C,master's degree,standard,none,67,57,59
675,female,group B,some college,standard,completed,50,64,66
409,male,group D,associate's degree,standard,completed,87,84,85
391,female,group D,some college,standard,none,77,68,77
887,male,group C,high school,free/reduced,none,54,72,59
786,female,group E,some high school,free/reduced,none,72,79,77
329,female,group B,some high school,standard,none,41,55,51
231,male,group C,associate's degree,standard,none,46,43,42
911,female,group A,some college,standard,none,69,84,82
883,male,group D,bachelor's degree,free/reduced,none,55,46,44
483,male,group A,high school,standard,none,59,52,46
891,female,group E,associate's degree,standard,none,85,92,85
395,male,group A,high school,free/reduced,none,48,45,41
850,male,group C,master's degree,standard,none,71,67,67
227,male,group D,high school,standard,none,57,50,54
4,male,group C,some college,standard,none,76,78,75
207,male,group E,high school,standard,completed,81,80,76
123,male,group D,high school,free/reduced,none,63,57,56
356,male,group A,associate's degree,standard,none,63,61,61
129,female,group A,bachelor's degree,standard,none,51,49,51
145,female,group C,some college,free/reduced,none,22,39,33
401,male,group A,some college,standard,none,53,43,43
343,male,group D,associate's degree,standard,completed,67,72,67
192,female,group B,some high school,standard,none,62,64,66
899,female,group D,some high school,standard,completed,65,78,82
418,male,group D,some college,standard,none,68,59,62
